CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,symbol,Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,Thuế TNDN,Lãi cơ bản trên cổ phiếu
TLG,2013,3,0,446554159606,41097604561,0,2497055754,-5417859766,446554159606,-4888938236,441665221370,-277360492864,164304728506,-6455798874,0,-55616302186,-41650064922,63079618278,2238613608,,-1847445516,391168092,63470786370,-20832387081,-1540794728,41097604561,0,41097604561,TLG,,,,,,,,,,,,,,,,,,
TLG,2013,2,0,353263979621,34054527922,0,2532456466,-6147122275,353263979621,-3414574758,349849404863,-214187105830,135662299033,-7489272403,0,-51277726026,-39702588471,39725168599,6603131340,,-4302283529,2300847811,42026016410,-14042064225,6070575737,34054527922,0,34054527922,TLG,,,,,,,,,,,,,,,,,,
TLG,2013,1,0,297016397484,28480461092,0,2596199835,-6532393829,297016397484,-7249535409,289766862075,-178104096070,111662766005,-6461979241,0,-39026249695,-30232279479,38538457425,1941783094,,-1577997117,363785977,38902243402,-7025080501,-3396701809,28480461092,0,28480461092,TLG,,,,,,,,,,,,,,,,,,
TPB,2025,1,0.04105272374,6801668000000,1686692000000,0.1530595154,,,,,,,,,,,-1883976000000,,,,,,2108875000000,-422184000000,,1686691000000,1000000,1686692000000,TPB,6801668000000,-3418050000000,3383618000000,1175572000000,-265634000000,909938000000,-17300000000,-496000000,102058000000,227219000000,-122569000000,104650000000,0,4482468000000,2598492000000,-489617000000,-422184000000,0
TPB,2024,4,-0.1153700904,6858748000000,1703252000000,2.448353215,,,,,,,,,,,-1793687000000,,,,,,2136997000000,-433744000000,,1703253000000,-1000000,1703252000000,TPB,6858748000000,-3790083000000,3068665000000,1184358000000,-275519000000,908839000000,282017000000,0,724857000000,394414000000,-257154000000,137260000000,0,5121638000000,3327951000000,-1190954000000,-433744000000,2298
TPB,2024,3,-0.08291207532,6323523000000,1383026000000,0.09517033419,,,,,,,,,,,-1426370000000,,,,,,1730586000000,-347561000000,,1383025000000,1000000,1383026000000,TPB,6323523000000,-3149690000000,3173833000000,1061541000000,-267076000000,794465000000,-46989000000,-462000000,-60515000000,293891000000,-158919000000,134972000000,0,3995304000000,2568934000000,-838348000000,-347561000000,0
TPB,2024,2,-0.1337833145,6232915000000,1522558000000,0.1774434404,,,,,,,,,,,-1383027000000,,,,,,1904021000000,-381462000000,,1522559000000,-1000000,1522558000000,TPB,6232915000000,-2996143000000,3236772000000,1193561000000,-248381000000,945180000000,661000000,-55000000,-44582000000,318325000000,-220183000000,98142000000,40000000,4236158000000,2853131000000,-949110000000,-381462000000,1356
TPB,2024,1,-0.02707429329,6533452000000,1462797000000,0.03506476598,,,,,,,,,,,-1675773000000,,,,,,1828594000000,-365797000000,,1462797000000,0,1462797000000,TPB,6533452000000,-3106066000000,3427386000000,946834000000,-231708000000,715126000000,83243000000,697000000,475154000000,222614000000,-239053000000,-16439000000,0,4685167000000,3009394000000,-1180800000000,-365797000000,0
TPB,2023,4,0.2872894356,7753240000000,493932000000,-0.6749010089,,,,,,,,,,,-1843428000000,,,,,,629608000000,-135676000000,,493932000000,0,493932000000,TPB,7753240000000,-3757147000000,3996093000000,395867000000,-281787000000,114080000000,342487000000,0,32328000000,330653000000,-372410000000,-41757000000,0,4443231000000,2599803000000,-1970195000000,-135676000000,0
TPB,2023,3,0.2754175958,6895220000000,1262841000000,-0.2621963261,,,,,,,,,,,-1345558000000,,,,,,1575657000000,-312816000000,,1262841000000,0,1262841000000,TPB,6895220000000,-3932519000000,2962701000000,890002000000,-224130000000,665872000000,123088000000,0,551598000000,186589000000,-275659000000,-89070000000,0,4214189000000,2868631000000,-1292974000000,-312816000000,0
TPB,2023,2,0.3446298978,7195561000000,1293105000000,-0.2527413152,,,,,,,,,,,-1930622000000,,,,,,1618437000000,-325332000000,,1293105000000,0,1293105000000,TPB,7195561000000,-4466534000000,2729027000000,1003749000000,-200140000000,803609000000,162589000000,0,237697000000,169226000000,-184969000000,-15743000000,0,3917179000000,1986557000000,-368120000000,-325332000000,0
TPB,2023,1,0.3349046092,6715263000000,1413242000000,0.08761120517,,,,,,,,,,,-1579089000000,,,,,,1765001000000,-351759000000,,1413242000000,0,1413242000000,TPB,6715263000000,-3978389000000,2736874000000,888847000000,-193108000000,695739000000,150989000000,0,34218000000,185811000000,-144565000000,41246000000,0,3659066000000,2079977000000,-314976000000,-351759000000,0
